"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
1001,"agegp3",NA,NA,3,NA,2,NA
1002,"agegp4",NA,NA,3,2,2,NA
1003,"agegp4",NA,NA,1,NA,2,NA
1004,"agegp4",NA,NA,2,3,1,NA
1005,"agegp4",NA,5,NA,2,2,NA
1007,"agegp3",NA,NA,4,NA,5,NA
1008,"agegp3",NA,NA,NA,2,3,1
1009,"agegp3",NA,NA,10,NA,5,2
1010,"agegp4",NA,1,5,3,1,NA
1011,"agegp4",NA,1,3,2,7,NA
1012,"agegp4",NA,NA,1,NA,1,NA
1013,"agegp3",NA,1,2,1,5,2
1014,"agegp3",NA,NA,3,NA,1,NA
1015,"agegp3",NA,NA,2,NA,2,NA
1016,"agegp3",NA,NA,2,1,2,NA
1017,"agegp3",NA,NA,NA,NA,1,NA
1018,"agegp3",NA,NA,1,NA,2,NA
1019,"agegp3",NA,NA,1,NA,2,NA
1020,"agegp3",NA,NA,NA,NA,1,2
1021,"agegp3",NA,1,18,NA,2,NA
1022,"agegp3",NA,1,5,NA,3,1
1023,"agegp4",NA,NA,2,4,NA,NA
1024,"agegp4",NA,NA,1,NA,1,2
1025,"agegp3",NA,1,10,NA,2,2
1026,"agegp3",NA,NA,10,2,2,NA
1027,"agegp3",NA,3,12,2,8,1
1028,"agegp3",NA,NA,NA,NA,2,NA
1029,"agegp3",NA,1,NA,NA,1,1
1030,"agegp3",NA,NA,NA,NA,2,NA
1031,"agegp3",NA,NA,1,NA,2,NA
1032,"agegp3",NA,NA,6,2,2,NA
1033,"agegp3",NA,1,7,NA,4,NA
1034,"agegp3",NA,NA,1,NA,NA,NA
1035,"agegp4",NA,NA,1,1,2,NA
1036,"agegp4",NA,NA,1,2,NA,NA
1037,"agegp3",NA,1,2,1,3,2
1038,"agegp3",NA,NA,NA,1,2,NA
1039,"agegp3",NA,NA,17,NA,4,NA
1040,"agegp3",NA,1,5,NA,3,NA
1041,"agegp3",NA,NA,6,1,2,NA
1042,"agegp3",NA,NA,17,NA,2,NA
1043,"agegp3",NA,NA,7,3,4,1
1044,"agegp3",NA,NA,7,NA,2,1
1047,"agegp3",NA,NA,1,NA,2,NA
1048,"agegp3",NA,NA,13,3,2,1
1049,"agegp3",NA,NA,11,NA,2,1
1050,"agegp4",NA,1,NA,2,2,4
1051,"agegp4",NA,NA,NA,4,2,1
1052,"agegp3",NA,NA,15,3,1,3
1053,"agegp3",NA,NA,8,NA,3,2
1054,"agegp3",NA,NA,8,2,3,NA
1055,"agegp4",NA,NA,1,NA,NA,2
1058,"agegp3",NA,2,4,1,3,NA
1059,"agegp3",NA,NA,1,NA,1,NA
1060,"agegp3",NA,NA,6,NA,3,NA
1061,"agegp3",NA,NA,NA,1,1,NA
1062,"agegp3",NA,1,5,NA,3,NA
1063,"agegp4",NA,1,NA,NA,1,NA
1064,"agegp3",1,2,11,3,3,NA
1065,"agegp4",1,NA,NA,9,1,NA
1066,"agegp3",NA,NA,6,2,3,NA
1067,"agegp3",NA,NA,6,3,4,NA
1068,"agegp3",NA,NA,4,NA,3,2
1069,"agegp3",NA,NA,2,NA,2,NA
1070,"agegp3",NA,NA,2,NA,3,1
1071,"agegp3",NA,NA,1,1,1,NA
1072,"agegp3",2,2,2,NA,1,1
1073,"agegp3",NA,1,1,1,3,NA
1074,"agegp3",NA,NA,6,NA,3,NA
1075,"agegp3",NA,NA,4,NA,1,NA
1076,"agegp3",NA,NA,1,NA,2,1
1077,"agegp3",NA,NA,2,1,2,NA
1078,"agegp3",NA,1,4,1,2,NA
1079,"agegp3",NA,1,1,NA,1,NA
1080,"agegp3",NA,1,1,1,1,NA
1081,"agegp3",NA,NA,1,NA,NA,NA
1083,"agegp4",NA,NA,NA,3,4,1
1084,"agegp3",NA,NA,9,NA,1,2
1085,"agegp4",NA,1,NA,3,2,NA
1086,"agegp3",NA,NA,2,NA,2,NA
1087,"agegp4",NA,NA,2,10,NA,NA
1088,"agegp4",NA,NA,NA,7,3,NA
1089,"agegp3",NA,NA,1,NA,2,1
1090,"agegp3",NA,NA,NA,NA,1,2
1091,"agegp4",NA,NA,3,4,NA,NA
1092,"agegp3",NA,1,10,NA,1,1
1093,"agegp4",NA,NA,NA,2,1,NA
1094,"agegp4",NA,NA,NA,2,1,1
1095,"agegp3",NA,NA,3,NA,3,NA
1097,"agegp4",NA,NA,4,NA,NA,NA
1098,"agegp3",NA,NA,1,NA,2,NA
1099,"agegp3",NA,NA,12,NA,2,NA
1100,"agegp4",NA,NA,1,3,2,NA
1101,"agegp4",NA,NA,NA,5,1,NA
1102,"agegp4",NA,NA,2,7,2,1
1103,"agegp4",NA,NA,1,3,1,1
1104,"agegp4",NA,1,NA,4,1,1
1105,"agegp3",NA,NA,NA,1,1,1
1107,"agegp3",NA,NA,2,NA,3,NA
1108,"agegp3",NA,NA,1,NA,2,3
1109,"agegp3",NA,NA,2,NA,2,NA
1110,"agegp3",NA,NA,16,NA,1,4
1111,"agegp3",NA,NA,7,NA,2,1
1112,"agegp4",NA,NA,1,2,2,2
1113,"agegp4",NA,NA,3,14,2,NA
1114,"agegp3",NA,NA,6,NA,2,NA
1115,"agegp4",NA,NA,NA,8,3,NA
1116,"agegp3",NA,NA,NA,NA,1,NA
1117,"agegp3",NA,NA,2,NA,1,NA
1118,"agegp3",NA,NA,NA,1,1,2
1119,"agegp3",NA,NA,4,NA,1,NA
1120,"agegp3",NA,NA,5,NA,2,NA
1121,"agegp4",NA,NA,1,13,1,NA
1122,"agegp4",NA,NA,NA,NA,2,NA
1123,"agegp4",NA,NA,NA,8,2,NA
1124,"agegp3",NA,4,11,NA,5,1
1125,"agegp4",NA,NA,1,5,2,NA
1126,"agegp3",NA,NA,8,NA,4,NA
1127,"agegp4",NA,NA,NA,NA,1,1
1128,"agegp3",NA,NA,NA,NA,2,NA
1129,"agegp3",NA,NA,6,1,2,NA
1131,"agegp3",NA,2,3,NA,6,NA
1132,"agegp3",NA,2,NA,NA,2,NA
1133,"agegp3",1,NA,4,3,2,NA
1134,"agegp3",NA,3,3,1,3,NA
1135,"agegp3",NA,NA,2,NA,NA,NA
1136,"agegp3",NA,NA,9,5,2,NA
1137,"agegp4",NA,NA,NA,1,NA,NA
1139,"agegp3",NA,1,2,NA,2,NA
1140,"agegp4",NA,NA,3,1,3,3
1141,"agegp4",NA,NA,5,6,1,NA
1142,"agegp4",NA,NA,5,12,NA,NA
1143,"agegp3",NA,NA,NA,1,1,2
1144,"agegp3",NA,NA,1,2,1,1
1145,"agegp4",NA,NA,4,2,6,NA
1146,"agegp3",NA,NA,2,NA,2,2
1147,"agegp4",NA,NA,NA,7,NA,NA
1148,"agegp4",NA,NA,NA,1,1,NA
1150,"agegp4",NA,NA,1,1,1,2
1151,"agegp4",NA,NA,1,2,1,NA
1152,"agegp3",NA,NA,3,NA,3,1
1153,"agegp3",NA,NA,6,NA,2,1
1154,"agegp3",NA,1,1,NA,NA,NA
1155,"agegp3",NA,NA,11,1,1,NA
1156,"agegp3",NA,NA,4,NA,2,NA
1157,"agegp4",NA,NA,2,12,5,1
1158,"agegp4",NA,NA,2,NA,3,1
1159,"agegp4",NA,NA,2,1,3,NA
1160,"agegp4",NA,NA,NA,5,1,NA
1161,"agegp3",NA,1,1,NA,2,NA
1162,"agegp3",NA,3,1,NA,4,NA
1163,"agegp3",NA,NA,7,2,2,NA
1165,"agegp4",NA,1,4,3,1,NA
1166,"agegp4",NA,NA,1,NA,2,NA
1167,"agegp4",NA,NA,7,7,1,NA
1168,"agegp3",NA,NA,1,NA,1,NA
1169,"agegp4",NA,2,1,NA,1,NA
1170,"agegp3",NA,1,4,NA,2,NA
1171,"agegp3",1,1,NA,NA,1,NA
1172,"agegp3",NA,NA,5,NA,2,1
