"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
3,"agegp4",NA,NA,NA,1
7,"agegp4",NA,NA,NA,1
10,"agegp4",NA,NA,NA,6
12,"agegp4",NA,1,2,NA
13,"agegp4",NA,1,NA,NA
14,"agegp4",NA,NA,NA,1
15,"agegp4",NA,NA,NA,1
18,"agegp4",NA,NA,NA,4
19,"agegp4",NA,NA,NA,1
20,"agegp4",NA,NA,NA,6
23,"agegp4",NA,NA,NA,1
24,"agegp4",NA,NA,NA,3
26,"agegp4",NA,NA,NA,1
27,"agegp4",NA,NA,NA,1
28,"agegp4",NA,NA,NA,9
31,"agegp4",NA,NA,NA,9
33,"agegp4",NA,NA,2,3
37,"agegp4",NA,2,3,11
38,"agegp4",NA,NA,1,1
39,"agegp4",NA,NA,NA,1
41,"agegp4",NA,NA,NA,2
43,"agegp4",NA,1,1,1
44,"agegp4",NA,1,1,1
45,"agegp4",NA,NA,NA,1
46,"agegp4",NA,NA,NA,1
47,"agegp4",NA,NA,NA,25
49,"agegp4",NA,NA,NA,3
50,"agegp4",NA,NA,NA,1
52,"agegp4",NA,NA,2,11
54,"agegp4",NA,NA,NA,6
57,"agegp4",NA,NA,NA,7
61,"agegp4",NA,NA,NA,2
62,"agegp4",NA,NA,NA,1
64,"agegp4",NA,NA,NA,1
67,"agegp4",NA,NA,NA,2
68,"agegp4",NA,NA,NA,1
69,"agegp4",NA,NA,NA,1
70,"agegp4",NA,1,NA,4
71,"agegp4",NA,NA,NA,1
72,"agegp4",NA,NA,NA,2
74,"agegp4",NA,NA,NA,3
75,"agegp4",NA,NA,NA,4
76,"agegp4",NA,NA,NA,1
77,"agegp4",NA,NA,NA,4
78,"agegp4",NA,NA,1,1
79,"agegp4",NA,5,NA,5
80,"agegp4",NA,NA,NA,1
81,"agegp4",NA,NA,NA,1
82,"agegp4",NA,NA,NA,1
83,"agegp4",NA,NA,NA,1
84,"agegp4",NA,NA,1,1
85,"agegp4",NA,NA,NA,17
86,"agegp4",NA,NA,2,1
88,"agegp4",NA,NA,1,3
89,"agegp4",NA,NA,2,1
90,"agegp4",NA,NA,2,3
92,"agegp4",NA,NA,2,1
93,"agegp4",NA,NA,2,1
95,"agegp4",NA,NA,NA,1
96,"agegp4",NA,1,NA,6
99,"agegp4",2,1,NA,3
105,"agegp4",NA,NA,NA,1
107,"agegp4",NA,NA,NA,1
109,"agegp4",NA,1,NA,1
112,"agegp4",NA,NA,NA,3
115,"agegp4",NA,1,2,NA
118,"agegp4",NA,1,NA,1
119,"agegp4",NA,NA,NA,2
120,"agegp4",NA,1,NA,1
121,"agegp4",NA,NA,NA,5
122,"agegp4",NA,NA,3,4
123,"agegp4",NA,NA,NA,3
127,"agegp4",NA,1,NA,1
129,"agegp4",NA,1,NA,7
130,"agegp4",NA,1,NA,2
132,"agegp4",NA,NA,NA,2
135,"agegp4",NA,2,NA,3
136,"agegp4",NA,NA,NA,1
137,"agegp4",NA,NA,NA,1
138,"agegp4",NA,NA,NA,5
140,"agegp4",NA,NA,NA,1
142,"agegp4",NA,NA,1,NA
143,"agegp4",NA,NA,NA,1
145,"agegp4",NA,1,2,4
148,"agegp4",NA,NA,1,NA
149,"agegp4",NA,NA,2,NA
151,"agegp4",NA,NA,NA,5
153,"agegp4",NA,1,1,1
154,"agegp4",NA,NA,1,3
155,"agegp4",NA,2,1,2
156,"agegp4",NA,NA,NA,1
157,"agegp4",NA,1,NA,1
158,"agegp4",NA,NA,NA,4
160,"agegp4",NA,NA,NA,1
162,"agegp4",NA,2,1,5
166,"agegp4",NA,1,NA,1
167,"agegp4",NA,NA,3,5
169,"agegp4",NA,NA,NA,3
170,"agegp4",NA,NA,NA,2
172,"agegp4",NA,NA,1,NA
174,"agegp4",NA,1,NA,1
177,"agegp4",NA,NA,NA,1
178,"agegp4",NA,NA,NA,1
179,"agegp4",NA,NA,NA,2
181,"agegp4",NA,NA,NA,2
182,"agegp4",NA,NA,NA,1
183,"agegp4",NA,NA,NA,10
184,"agegp4",NA,NA,NA,9
185,"agegp4",NA,1,NA,5
186,"agegp4",NA,NA,NA,3
187,"agegp4",NA,NA,NA,4
189,"agegp4",NA,NA,NA,3
190,"agegp4",NA,NA,NA,2
191,"agegp4",NA,NA,NA,2
192,"agegp4",NA,NA,NA,2
193,"agegp4",NA,NA,NA,1
194,"agegp4",NA,NA,NA,4
195,"agegp4",NA,NA,NA,4
197,"agegp4",NA,NA,NA,3
199,"agegp4",NA,NA,NA,2
202,"agegp4",NA,NA,1,2
204,"agegp4",NA,NA,2,2
207,"agegp4",NA,NA,NA,1
208,"agegp4",NA,NA,NA,1
211,"agegp4",NA,1,1,2
212,"agegp4",NA,NA,2,5
213,"agegp4",NA,NA,NA,1
214,"agegp4",NA,NA,NA,1
217,"agegp4",NA,NA,NA,2
219,"agegp4",NA,NA,NA,4
220,"agegp4",NA,2,NA,2
221,"agegp4",NA,NA,1,3
224,"agegp4",NA,NA,NA,2
227,"agegp4",NA,NA,NA,1
228,"agegp4",NA,NA,NA,1
230,"agegp4",NA,NA,NA,2
231,"agegp4",NA,NA,NA,1
233,"agegp4",NA,NA,NA,1
234,"agegp4",NA,NA,NA,2
236,"agegp4",NA,NA,NA,1
238,"agegp4",NA,NA,NA,10
239,"agegp4",NA,NA,NA,1
241,"agegp4",NA,1,1,2
244,"agegp4",NA,NA,NA,2
245,"agegp4",NA,NA,NA,28
246,"agegp4",NA,NA,NA,5
247,"agegp4",NA,NA,NA,2
248,"agegp4",NA,NA,NA,2
249,"agegp4",NA,NA,NA,1
250,"agegp4",NA,1,NA,1
252,"agegp4",NA,NA,NA,1
253,"agegp4",NA,NA,NA,1
254,"agegp4",NA,NA,NA,1
255,"agegp4",NA,NA,2,3
257,"agegp4",NA,NA,1,2
258,"agegp4",NA,NA,NA,1
259,"agegp4",NA,NA,NA,1
260,"agegp4",NA,NA,NA,1
261,"agegp4",NA,NA,1,1
262,"agegp4",NA,NA,NA,2
263,"agegp4",NA,NA,2,9
264,"agegp4",NA,NA,2,1
265,"agegp4",NA,NA,2,9
266,"agegp4",NA,2,NA,1
267,"agegp4",NA,NA,2,11
268,"agegp4",NA,NA,2,1
272,"agegp4",NA,NA,2,4
273,"agegp4",NA,NA,NA,4
274,"agegp4",NA,NA,NA,1
275,"agegp4",NA,NA,NA,1
276,"agegp4",NA,1,NA,1
279,"agegp4",NA,NA,NA,2
280,"agegp4",NA,NA,NA,11
281,"agegp4",NA,NA,NA,1
286,"agegp4",NA,NA,1,1
287,"agegp4",NA,NA,NA,3
292,"agegp4",NA,NA,NA,1
293,"agegp4",NA,NA,NA,2
295,"agegp4",NA,NA,NA,3
