"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
1,"agegp4",NA,NA,1,2,NA,NA
6,"agegp2",NA,1,1,6,11,1
14,"agegp3",NA,4,5,2,2,NA
15,"agegp2",NA,9,7,NA,6,1
16,"agegp3",NA,NA,1,1,4,3
18,"agegp4",NA,1,8,6,7,2
19,"agegp1",1,4,NA,3,3,NA
20,"agegp5",NA,NA,NA,2,3,NA
22,"agegp2",NA,1,1,NA,1,1
23,"agegp5",1,NA,3,1,11,7
26,"agegp5",NA,2,NA,13,17,2
28,"agegp3",NA,1,13,NA,6,NA
29,"agegp5",NA,NA,NA,3,27,12
33,"agegp3",NA,2,NA,NA,2,NA
35,"agegp5",NA,3,10,NA,1,1
39,"agegp3",NA,4,7,1,4,1
44,"agegp6",NA,NA,8,5,20,8
45,"agegp3",NA,1,4,1,4,NA
50,"agegp2",NA,1,8,1,5,2
55,"agegp4",NA,NA,NA,3,6,1
57,"agegp6",NA,NA,NA,1,4,1
58,"agegp5",1,1,1,7,6,NA
70,"agegp5",NA,3,1,5,9,5
75,"agegp2",NA,3,7,NA,9,NA
77,"agegp2",NA,7,6,NA,3,NA
78,"agegp2",NA,1,8,4,7,2
80,"agegp6",1,NA,NA,NA,1,2
86,"agegp5",1,1,1,NA,7,NA
91,"agegp3",1,1,2,NA,1,NA
93,"agegp4",NA,NA,NA,2,4,NA
97,"agegp2",NA,4,1,2,7,NA
99,"agegp3",NA,NA,2,NA,5,1
100,"agegp4",NA,3,1,1,5,1
102,"agegp5",1,6,3,4,10,5
107,"agegp5",1,5,2,8,17,1
112,"agegp2",NA,NA,3,1,11,1
117,"agegp1",NA,1,5,3,4,NA
119,"agegp5",NA,1,2,NA,1,NA
124,"agegp1",NA,NA,2,NA,5,1
129,"agegp5",NA,2,3,2,13,3
131,"agegp4",NA,5,29,8,4,4
132,"agegp1",1,1,4,7,7,NA
133,"agegp5",NA,3,NA,2,12,5
134,"agegp3",1,1,11,10,6,NA
136,"agegp5",NA,NA,NA,NA,3,1
139,"agegp5",NA,1,2,3,13,2
148,"agegp6",NA,1,1,5,5,2
149,"agegp6",NA,2,5,7,7,NA
155,"agegp1",NA,2,1,1,4,1
159,"agegp3",1,3,1,NA,11,1
165,"agegp5",NA,4,NA,NA,3,NA
166,"agegp5",NA,NA,NA,2,22,5
170,"agegp3",2,2,3,NA,2,NA
171,"agegp5",1,1,3,NA,24,6
179,"agegp2",NA,1,2,3,5,NA
182,"agegp5",1,3,3,1,7,1
185,"agegp2",1,4,4,2,2,1
186,"agegp5",NA,NA,1,5,7,2
188,"agegp1",NA,3,NA,NA,8,NA
193,"agegp4",NA,1,5,4,1,1
194,"agegp2",1,6,4,1,2,3
196,"agegp3",NA,NA,2,NA,NA,NA
197,"agegp5",NA,4,NA,NA,7,1
200,"agegp6",NA,2,NA,NA,1,NA
202,"agegp3",NA,3,13,2,7,2
203,"agegp2",NA,2,1,2,2,1
211,"agegp5",NA,NA,2,NA,4,2
214,"agegp4",NA,NA,NA,4,2,1
221,"agegp6",NA,2,3,6,9,3
230,"agegp5",NA,2,3,6,33,7
234,"agegp5",NA,5,9,2,4,2
241,"agegp4",1,NA,NA,3,3,1
243,"agegp3",NA,15,22,NA,3,2
244,"agegp3",1,NA,10,8,5,1
246,"agegp5",NA,2,5,9,14,4
250,"agegp3",1,2,5,1,6,NA
252,"agegp2",NA,2,8,NA,5,1
254,"agegp1",NA,3,4,NA,4,NA
255,"agegp5",NA,1,NA,3,16,NA
258,"agegp4",NA,NA,NA,3,2,NA
260,"agegp5",1,1,NA,NA,8,1
261,"agegp4",NA,1,3,6,6,1
263,"agegp2",NA,6,8,NA,2,NA
265,"agegp1",NA,NA,3,NA,1,1
271,"agegp3",NA,NA,NA,NA,2,NA
273,"agegp6",NA,NA,NA,NA,4,NA
274,"agegp1",NA,1,3,1,2,NA
275,"agegp4",NA,NA,1,3,3,NA
278,"agegp1",NA,1,NA,1,8,NA
282,"agegp5",NA,1,4,1,6,5
283,"agegp2",1,4,5,2,6,NA
284,"agegp4",NA,1,NA,NA,2,1
287,"agegp5",NA,4,4,2,3,NA
289,"agegp6",NA,1,2,NA,8,2
293,"agegp5",1,4,3,1,6,NA
297,"agegp1",NA,NA,5,1,5,1
300,"agegp5",1,3,6,NA,6,NA
301,"agegp4",NA,1,3,14,14,2
303,"agegp4",NA,1,1,4,3,NA
304,"agegp5",1,4,4,2,16,NA
305,"agegp5",1,1,NA,1,9,NA
308,"agegp3",NA,3,NA,NA,NA,NA
310,"agegp4",NA,NA,3,5,5,4
311,"agegp3",NA,NA,3,3,2,1
314,"agegp5",NA,NA,2,NA,5,6
