"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5"
13800001,"agegp4",NA,NA,1,6,NA
13800002,"agegp5",NA,NA,1,1,1
13800003,"agegp3",NA,NA,15,3,NA
13800004,"agegp4",NA,NA,1,6,2
13800005,"agegp2",NA,1,NA,5,1
13800006,"agegp4",NA,1,NA,3,2
13800007,"agegp5",NA,NA,NA,2,3
13800008,"agegp5",NA,NA,NA,4,NA
13800009,"agegp3",NA,NA,13,3,1
13800010,"agegp5",NA,NA,NA,2,1
13800011,"agegp2",NA,NA,1,3,NA
13800012,"agegp4",NA,NA,NA,5,NA
13800013,"agegp3",NA,NA,12,3,NA
13800014,"agegp4",NA,NA,NA,8,NA
13800015,"agegp3",NA,NA,7,4,3
13800016,"agegp4",NA,1,NA,4,NA
13800017,"agegp3",NA,NA,4,2,2
13800018,"agegp3",NA,1,5,12,3
13800019,"agegp4",NA,1,NA,12,3
13800020,"agegp4",NA,1,2,12,6
13800021,"agegp4",NA,1,NA,10,2
13800022,"agegp2",NA,1,2,4,4
13800023,"agegp5",NA,NA,NA,3,5
13800024,"agegp4",NA,NA,NA,6,2
13800025,"agegp5",NA,NA,2,7,3
13800026,"agegp3",NA,1,13,4,NA
13800027,"agegp2",NA,NA,NA,3,1
13800028,"agegp3",NA,NA,10,4,NA
13800029,"agegp4",NA,NA,2,1,1
13800030,"agegp5",NA,NA,NA,3,2
13800031,"agegp5",NA,NA,1,14,4
13800032,"agegp3",NA,NA,3,3,2
13800033,"agegp4",NA,NA,2,12,1
13800034,"agegp3",NA,NA,15,4,NA
13800035,"agegp3",NA,2,13,5,2
13800036,"agegp4",NA,1,NA,3,2
13800037,"agegp5",NA,NA,NA,5,4
13800038,"agegp4",NA,NA,1,4,1
13800039,"agegp4",NA,NA,NA,NA,1
13800040,"agegp5",NA,NA,1,9,6
13800041,"agegp3",NA,1,9,3,2
13800042,"agegp2",NA,1,1,4,NA
13800043,"agegp5",NA,NA,3,4,2
13800044,"agegp5",NA,1,NA,2,1
13800045,"agegp2",NA,NA,NA,2,2
13800046,"agegp4",NA,NA,3,2,NA
13800047,"agegp2",NA,NA,1,6,1
13800048,"agegp3",NA,NA,7,3,1
13800049,"agegp3",NA,NA,NA,5,NA
13800050,"agegp4",NA,NA,NA,8,NA
13800051,"agegp3",NA,1,6,4,2
13800052,"agegp4",NA,NA,NA,11,5
13800053,"agegp5",NA,NA,3,2,3
13800054,"agegp2",NA,NA,1,4,4
13800055,"agegp2",NA,NA,1,4,2
13800056,"agegp4",NA,NA,1,4,NA
13800057,"agegp4",NA,NA,NA,4,2
13800058,"agegp4",NA,NA,NA,4,2
13800059,"agegp3",NA,NA,4,3,1
13800060,"agegp3",NA,NA,7,4,1
13800061,"agegp5",NA,NA,NA,NA,3
13800062,"agegp5",NA,NA,1,1,9
13800063,"agegp5",NA,NA,2,5,2
13800064,"agegp5",NA,1,2,6,NA
13800065,"agegp4",NA,1,1,6,NA
13800066,"agegp3",NA,NA,4,3,NA
13800067,"agegp2",NA,NA,NA,3,3
13800068,"agegp3",NA,NA,1,1,2
13800069,"agegp2",NA,1,2,2,1
13800070,"agegp2",NA,4,NA,4,2
13800071,"agegp4",NA,1,1,3,NA
13800072,"agegp5",NA,NA,2,3,NA
13800073,"agegp5",NA,NA,NA,2,1
13800074,"agegp4",NA,NA,1,10,1
13800075,"agegp4",NA,NA,NA,4,5
13800076,"agegp4",NA,1,1,3,3
13800077,"agegp4",NA,2,1,3,4
13800078,"agegp4",NA,1,NA,4,1
13800079,"agegp4",NA,1,2,3,1
13800080,"agegp5",NA,1,1,3,5
13800081,"agegp3",NA,NA,2,2,1
13800082,"agegp4",NA,NA,NA,4,1
13800083,"agegp2",NA,NA,NA,3,1
13800084,"agegp4",NA,3,NA,6,2
13800085,"agegp5",NA,NA,2,2,1
13800086,"agegp4",NA,NA,NA,8,NA
13800087,"agegp5",NA,1,2,5,2
13800088,"agegp4",NA,NA,NA,8,2
13800089,"agegp2",NA,NA,NA,3,1
13800090,"agegp4",NA,NA,2,4,1
13800091,"agegp2",NA,NA,NA,6,2
13800092,"agegp4",NA,3,NA,2,2
13800093,"agegp5",NA,2,NA,8,1
13800094,"agegp2",NA,NA,1,3,2
